Color,Name,Kms_Driven,Owner,Fuel,RTO,Tranmission,Price,Body_type,Variant,Airbags,Alloy_wheels,Cruise_control,Infotainment_system,Parking_sensors,Push_button_start,Steering_mounted_controls,Sunroof_moonroof
white,2019 Toyota Fortuner,"93,293 KM",1ST,DIESEL,UP-14,Manual,"₹27,00,000",luxury%20suv,2.8 4X2 MTManual,1.0,1.0,,1.0,1.0,1.0,1.0,
white,2019 Jeep Compass,"22,936 KM",1ST,PETROL,RJ-45,Manual,"₹11,95,000",luxury%20suv,SPORT PLUS 1.4 PETROLManual,,,,,,,,
white,2017 Jeep Compass,"98,155 KM",1ST,DIESEL,TN-06,Manual,"₹10,91,000",luxury%20suv,LONGITUDE 2.0 DIESELManual,1.0,1.0,,,1.0,1.0,,
white,2010 Honda CRV,"60,070 KM",2ND,PETROL,WB-06,Manual,"₹3,71,000",luxury%20suv,2.4L 2WD MTManual,,,,,,,,
white,2017 Mahindra XUV500,"91,120 KM",2ND,DIESEL,GJ-01,Automatic,"₹9,82,000",luxury%20suv,W10 ATAutomatic,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
white,2018 Jeep Compass,"1,13,694 KM",2ND,DIESEL,TS-08,Manual,"₹10,90,000",luxury%20suv,LONGITUDE 2.0 DIESELManual,1.0,1.0,,,1.0,1.0,1.0,
white,2019 Jeep Compass,"43,666 KM",1ST,PETROL,HR-26,Manual,"₹11,42,000",luxury%20suv,SPORT PLUS 1.4 PETROLManual,1.0,1.0,,1.0,1.0,,1.0,
white,2021 Mahindra XUV500,"31,635 KM",1ST,DIESEL,WB-02,Manual,"₹10,67,000",luxury%20suv,W5Manual,1.0,,,,1.0,,,
white,2019 Mahindra XUV500,"67,102 KM",1ST,DIESEL,GJ-01,Automatic,"₹11,71,000",luxury%20suv,W7 ATAutomatic,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2019 Mahindra XUV500,"87,064 KM",1ST,DIESEL,HR-13,Automatic,"₹11,99,000",luxury%20suv,W11 (O) ATAutomatic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
white,2014 Honda CRV,"1,19,456 KM",2ND,PETROL,MH-12,Automatic,"₹7,32,000",luxury%20suv,2.4L 2WD ATAutomatic,1.0,1.0,1.0,,1.0,,1.0,1.0
white,2019 Ford Endeavour,"83,091 KM",1ST,DIESEL,TN-07,Automatic,"₹26,30,000",luxury%20suv,TITANIUM PLUS 3.2 4X4 AT SUNROOFAutomatic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
white,2020 Jeep Compass,"60,481 KM",1ST,DIESEL,GJ-01,Automatic,"₹16,21,000",luxury%20suv,LIMITED PLUS 2.0 DIESEL 4X4 ATAutomatic,,,,,,,,
